candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc
lowest-temperature-in-shanghai-on-may-6-2026|lowest-temperature-in-shanghai-on-may-6-2026-14c|BUY_YES,lowest-temperature-in-shanghai-on-may-6-2026,Lowest temperature in Shanghai on May 6?,Shanghai,May 6,lowest,lowest-temperature-in-shanghai-on-may-6-2026-14c,14°C,BUY_YES,0.15,0.223106,0.066731,0.426737,0.18,0.03,poor,wide spread; thin liquidity; low market volume,0.035726,0.190661,0.105,0.045,0.2875,0,0.108106,0.005736,1.029581,0.296005,0,maker fill score below 0.35,0.01,0.05,189.6215,66.421285,-0.076959,-0.021071,0.072599,0.120736,0.259979,0.222222,13,14,0.01,0,-0.089105,0.14369,shift=+1.0C sigma=2.5C slip=0.010,worst shift=+1.0C sigma=2.5C slip=0.010 edge=-0.0770; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.0726,execution slippage above 0.020: 0.030,14.857166,13.5,14.5,celsius,15°C,2,5,wide spread,BUY_YES: our bucket probability is above market ask after fee; rank 2 of 5,0,,0,,,
lowest-temperature-in-seoul-on-may-7-2026|lowest-temperature-in-seoul-on-may-7-2026-12c|BUY_NO,lowest-temperature-in-seoul-on-may-7-2026,Lowest temperature in Seoul on May 7?,Seoul,May 7,lowest,lowest-temperature-in-seoul-on-may-7-2026-12c,12°C,BUY_NO,0.64,0.908618,0.257098,0.394613,0.65,0.01,fair,moderate liquidity; low market volume,0.247243,0.373832,0.625,0.015,0.37,1,0.273618,0.174559,0.437789,0.161982,0,"maker viable, taker expected value is higher",0.01,0.02,666.6703,58.155526,0.138339,0.227242,0.310072,0.809559,0.971447,1.0,0,0,0.01,1,0.136463,0.118759,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.1383; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.3101,passes all stress and execution checks,9.78592,11.5,12.5,celsius,10°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 10°C,0,,1,,,
highest-temperature-in-buenos-aires-on-may-7-2026|highest-temperature-in-buenos-aires-on-may-7-2026-21c|BUY_NO,highest-temperature-in-buenos-aires-on-may-7-2026,Highest temperature in Buenos Aires on May 7?,Buenos Aires,May 7,highest,highest-temperature-in-buenos-aires-on-may-7-2026-21c,21°C,BUY_NO,0.77,0.889853,0.110998,0.142514,0.77,0.0,good,,0.110998,0.142514,0.765,0.005,0.565,1,0.114853,0.014898,0.150135,0.084826,0,"maker viable, taker expected value is higher",0.01,0.01,1068.247,132.126134,0.001318,0.098815,0.183538,0.789898,0.962393,0.944444,0,1,0.01,0,-0.000205,0.10968,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.0013; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.1835,edge below 0.010 under shift=+1.0C sigma=1.5C slip=0.010,18.992435,20.5,21.5,celsius,19°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 19°C,0,,0,,,
highest-temperature-in-buenos-aires-on-may-7-2026|highest-temperature-in-buenos-aires-on-may-7-2026-19c|BUY_YES,highest-temperature-in-buenos-aires-on-may-7-2026,Highest temperature in Buenos Aires on May 7?,Buenos Aires,May 7,highest,highest-temperature-in-buenos-aires-on-may-7-2026-19c,19°C,BUY_YES,0.16,0.261114,0.094394,0.566183,0.175,0.015,fair,wide spread,0.078895,0.43297,0.115,0.045,0.465,1,0.136114,0.021312,1.1836,0.550374,1,maker preferred,0.01,0.05,1043.8523,146.167982,-0.046227,-0.00061,0.078895,0.146312,0.261114,0.388889,10,11,0.01,0,-0.0564,0.140621,shift=-1.0C sigma=2.5C slip=0.010,worst shift=-1.0C sigma=2.5C slip=0.010 edge=-0.0462; best shift=+0.0C sigma=1.5C slip=0.000 edge=0.0789,negative edge under shift=-1.0C sigma=2.5C slip=0.010,18.992435,18.5,19.5,celsius,19°C,1,5,model top bucket; wide spread,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,,0,,,
highest-temperature-in-buenos-aires-on-may-7-2026|highest-temperature-in-buenos-aires-on-may-7-2026-18c|BUY_YES,highest-temperature-in-buenos-aires-on-may-7-2026,Highest temperature in Buenos Aires on May 7?,Buenos Aires,May 7,highest,highest-temperature-in-buenos-aires-on-may-7-2026-18c,18°C,BUY_YES,0.13,0.211468,0.075813,0.558866,0.13,0.0,good,,0.075813,0.558866,0.115,0.015,0.5325,0,0.086468,-0.013415,0.751896,0.400384,0,maker worst stress edge not positive,0.01,0.02,1050.8552,339.249069,-0.034435,0.025723,0.125459,0.111585,0.261114,0.611111,6,7,0.01,0,-0.039349,0.110248,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=-0.0344; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.1255,negative edge under shift=+1.0C sigma=1.5C slip=0.010,18.992435,17.5,18.5,celsius,19°C,2,5,,BUY_YES: our bucket probability is above market ask after fee; rank 2 of 5,0,,0,,,
highest-temperature-in-singapore-on-may-7-2026|highest-temperature-in-singapore-on-may-7-2026-32c|BUY_NO,highest-temperature-in-singapore-on-may-7-2026,Highest temperature in Singapore on May 7?,Singapore,May 7,highest,highest-temperature-in-singapore-on-may-7-2026-32c,32°C,BUY_NO,0.65,0.847896,0.186521,0.28202,0.65,0.0,good,,0.186521,0.28202,0.645,0.005,0.565,1,0.192896,0.102549,0.299064,0.168971,0,"maker viable, taker expected value is higher",0.01,0.01,1019.2153,118.682776,0.086329,0.194222,0.276466,0.757549,0.937841,1.0,0,0,0.01,1,0.08631,0.100192,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.0863; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.2765,passes all stress and execution checks,30.411437,31.5,32.5,celsius,30°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,0,,1,,,
highest-temperature-in-singapore-on-may-7-2026|highest-temperature-in-singapore-on-may-7-2026-33c|BUY_NO,highest-temperature-in-singapore-on-may-7-2026,Highest temperature in Singapore on May 7?,Singapore,May 7,highest,highest-temperature-in-singapore-on-may-7-2026-33c,33°C,BUY_NO,0.81,0.937841,0.120146,0.146933,0.815,0.005,fair,spread penalty,0.115302,0.140179,0.785,0.025,0.455,1,0.142841,0.052896,0.181963,0.082793,0,"maker viable, taker expected value is higher",0.01,0.03,1043.8447,159.84629,0.015677,0.085498,0.160924,0.847896,0.983463,1.0,0,0,0.01,1,0.01523,0.104469,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.0157; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.1609,passes all stress and execution checks,30.411437,32.5,33.5,celsius,30°C,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,0,,0,,,
highest-temperature-in-singapore-on-may-7-2026|highest-temperature-in-singapore-on-may-7-2026-30c|BUY_YES,highest-temperature-in-singapore-on-may-7-2026,Highest temperature in Singapore on May 7?,Singapore,May 7,highest,highest-temperature-in-singapore-on-may-7-2026-30c,30°C,BUY_YES,0.1,0.251822,0.147322,1.40978,0.115,0.015,fair,spread penalty; low market volume,0.131733,1.096966,0.065,0.035,0.41625,1,0.176822,0.060452,2.720338,1.132341,1,maker preferred,0.01,0.04,1180.5518,11.0,0.004983,0.057842,0.131734,0.135452,0.251822,0.944444,0,1,0.01,0,0.000194,0.142339,shift=+1.0C sigma=2.5C slip=0.010,worst shift=+1.0C sigma=2.5C slip=0.010 edge=0.0050; best shift=+0.0C sigma=1.5C slip=0.000 edge=0.1317,edge below 0.010 under shift=+1.0C sigma=2.5C slip=0.010,30.411437,29.5,30.5,celsius,30°C,1,5,model top bucket,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,,0,,,
highest-temperature-in-singapore-on-may-7-2026|highest-temperature-in-singapore-on-may-7-2026-29c|BUY_YES,highest-temperature-in-singapore-on-may-7-2026,Highest temperature in Singapore on May 7?,Singapore,May 7,highest,highest-temperature-in-singapore-on-may-7-2026-29c,29°C,BUY_YES,0.05,0.170438,0.118063,2.254186,0.06,0.01,fair,spread penalty; low market volume,0.107618,1.713117,0.025,0.025,0.415,1,0.135438,0.040148,5.41752,2.248271,1,maker preferred,0.01,0.03,1485.11599,29.99684,0.001893,0.080226,0.189002,0.075148,0.251822,0.944444,0,1,0.01,0,-0.000279,0.11617,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.0019; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.1890,edge below 0.010 under shift=+1.0C sigma=1.5C slip=0.010,30.411437,28.5,29.5,celsius,30°C,3,5,,BUY_YES: our bucket probability is above market ask after fee; rank 3 of 5,0,,0,,,
highest-temperature-in-manila-on-may-7-2026|highest-temperature-in-manila-on-may-7-2026-34c|BUY_NO,highest-temperature-in-manila-on-may-7-2026,Highest temperature in Manila on May 7?,Manila,May 7,highest,highest-temperature-in-manila-on-may-7-2026-34c,34°C,BUY_NO,0.87,0.940831,0.065176,0.074431,0.88,0.01,fair,moderate liquidity; low market volume,0.055551,0.06275,0.865,0.005,0.4625,0,0.065831,-0.022549,0.076105,0.035199,0,maker worst stress edge not positive,0.01,0.01,947.557,82.693332,-0.042444,0.024974,0.099274,0.852451,0.984554,0.666667,6,6,0.01,0,-0.04654,0.10762,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=-0.0424; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.0993,negative edge under shift=-1.0C sigma=1.5C slip=0.010,36.632631,33.5,34.5,celsius,37°C,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 37°C,0,,0,,,
