candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc,maker_expected_pnl_if_filled_usdc,maker_fill_adjusted_expected_pnl_usdc
highest-temperature-in-guangzhou-on-may-5-2026|highest-temperature-in-guangzhou-on-may-5-2026-23c|BUY_NO,highest-temperature-in-guangzhou-on-may-5-2026,Highest temperature in Guangzhou on May 5?,Guangzhou,May 5,highest,highest-temperature-in-guangzhou-on-may-5-2026-23c,23°C,BUY_NO,0.078,0.970934,0.889338,10.899313,0.088,0.01,fair,thin liquidity,0.878921,9.552162,0.077,0.001,0.3145,0,0.883934,0.803913,11.479662,3.610354,0,maker fill score below 0.35,0.01,0.001,150.47641,6196.485723,0.788493,0.84348,0.902045,0.890913,0.994058,1.0,0,0,0.01,1,0.788408,0.100845,shift=-1.0C sigma=2.0C slip=0.010,worst shift=-1.0C sigma=2.0C slip=0.010 edge=0.7885; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.9020,passes all stress and execution checks,26.201144,22.5,23.5,celsius,26°C or higher,4,4,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C or higher,0,,1,2.5,27.248282,23.880405,28.699155,9.025885
lowest-temperature-in-tokyo-on-may-5-2026|lowest-temperature-in-tokyo-on-may-5-2026-14c|BUY_NO,lowest-temperature-in-tokyo-on-may-5-2026,Lowest temperature in Tokyo on May 5?,Tokyo,May 5,lowest,lowest-temperature-in-tokyo-on-may-5-2026-14c,14°C,BUY_NO,0.008,0.90049,0.892093,106.242045,0.013,0.005,good,extreme price,0.886848,65.010827,0.007,0.001,0.82,1,0.88349,0.783616,126.212857,103.494543,1,maker preferred,0.01,0.005,2332.68217,3071.912864,0.776492,0.86978,0.954017,0.800616,0.967658,1.0,0,0,0.01,1,0.774932,0.115601,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.7765; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.9540,passes all stress and execution checks,11.877643,13.5,14.5,celsius,12°C,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 12°C,0,,1,2.5,265.605113,162.527068,315.532143,258.736357
lowest-temperature-in-nyc-on-may-5-2026|lowest-temperature-in-nyc-on-may-5-2026-56-57f|BUY_NO,lowest-temperature-in-nyc-on-may-5-2026,Lowest temperature in NYC on May 5?,NYC,May 5,lowest,lowest-temperature-in-nyc-on-may-5-2026-56-57f,56-57°F,BUY_NO,0.06,0.931005,0.868185,13.820201,0.065,0.005,fair,moderate liquidity,0.862966,12.683452,0.055,0.005,0.5625,1,0.866005,0.766857,15.745545,8.856869,0,"maker viable, taker expected value is higher",0.01,0.01,504.3062,903.119747,0.753388,0.83026,0.913471,0.831857,0.98151,1.0,0,0,0.01,1,0.751908,0.114797,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.7534; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.9135,passes all stress and execution checks,11.292183,56.0,58.0,fahrenheit,51°F or below,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 51°F or below,0,,1,2.5,34.550503,31.70863,39.363862,22.142173
highest-temperature-in-karachi-on-may-5-2026|highest-temperature-in-karachi-on-may-5-2026-37c|BUY_NO,highest-temperature-in-karachi-on-may-5-2026,Highest temperature in Karachi on May 5?,Karachi,May 5,highest,highest-temperature-in-karachi-on-may-5-2026-37c,37°C,BUY_NO,0.033,0.765208,0.730612,21.118683,0.048,0.015,fair,spread penalty; thin liquidity,0.714923,14.217481,0.008,0.025,0.4475,1,0.747208,0.72572,93.401,41.796947,1,maker preferred,0.01,0.03,353.99991,6093.567904,0.682988,0.768209,0.823683,0.74372,0.873968,1.0,0,0,0.01,1,0.688225,0.047624,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=0.6830; best shift=+1.0C sigma=2.5C slip=0.000 edge=0.8237,passes all stress and execution checks,37.704492,36.5,37.5,celsius,38°C or higher,2,2,few visible buckets,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 38°C or higher,0,,1,2.5,52.796708,35.543702,233.5025,104.492368
highest-temperature-in-taipei-on-may-5-2026|highest-temperature-in-taipei-on-may-5-2026-21c|BUY_NO,highest-temperature-in-taipei-on-may-5-2026,Highest temperature in Taipei on May 5?,Taipei,May 5,highest,highest-temperature-in-taipei-on-may-5-2026-21c,21°C,BUY_NO,0.072,0.857188,0.781848,10.377474,0.082,0.01,fair,thin liquidity,0.771424,8.994753,0.065,0.007,0.524,1,0.782188,0.688404,12.033662,6.305639,0,"maker viable, taker expected value is higher",0.01,0.012,180.2005,7186.794449,0.667227,0.774173,0.858087,0.763404,0.94385,1.0,0,0,0.01,1,0.665765,0.114621,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=0.6672; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.8581,passes all stress and execution checks,22.678648,20.5,21.5,celsius,23°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,0,,1,2.5,25.943685,22.486883,30.084155,15.764098
lowest-temperature-in-london-on-may-5-2026|lowest-temperature-in-london-on-may-5-2026-11c|BUY_NO,lowest-temperature-in-london-on-may-5-2026,Lowest temperature in London on May 5?,London,May 5,lowest,lowest-temperature-in-london-on-may-5-2026-11c,11°C,BUY_NO,0.13,0.821315,0.68566,5.05444,0.135,0.005,fair,moderate liquidity,0.680476,4.831598,0.125,0.005,0.5625,1,0.686315,0.609936,5.49052,3.088418,0,"maker viable, taker expected value is higher",0.01,0.01,756.9532,606.397708,0.593738,0.701901,0.777612,0.744936,0.918451,1.0,0,0,0.01,1,0.594545,0.091922,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.5937; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.7776,passes all stress and execution checks,9.669014,10.5,11.5,celsius,10°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 10°C,0,,1,2.5,12.6361,12.078995,13.7263,7.721045
highest-temperature-in-san-francisco-on-may-5-2026|highest-temperature-in-san-francisco-on-may-5-2026-62-63f|BUY_NO,highest-temperature-in-san-francisco-on-may-5-2026,Highest temperature in San Francisco on May 5?,San Francisco,May 5,highest,highest-temperature-in-san-francisco-on-may-5-2026-62-63f,62-63°F,BUY_NO,0.34,0.857811,0.506591,1.442375,0.35,0.01,fair,thin liquidity,0.496436,1.373742,0.335,0.005,0.5575,1,0.512811,0.405169,1.530779,0.853409,0,"maker viable, taker expected value is higher",0.01,0.01,357.9519,1917.118168,0.378649,0.492424,0.585734,0.750169,0.947109,1.0,0,0,0.01,1,0.375854,0.127942,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.3786; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.5857,passes all stress and execution checks,15.394932,62.0,64.0,fahrenheit,58-59°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 58-59°F,0,,1,2.5,3.605938,3.434355,3.826947,2.133522
highest-temperature-in-lagos-on-may-5-2026|highest-temperature-in-lagos-on-may-5-2026-34c|BUY_NO,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,Lagos,May 5,highest,highest-temperature-in-lagos-on-may-5-2026-34c,34°C,BUY_NO,0.53,0.950293,0.407838,0.751837,0.545,0.015,fair,spread penalty; thin liquidity,0.392894,0.704871,0.505,0.025,0.4475,1,0.435293,0.35122,0.861966,0.38573,0,"maker viable, taker expected value is higher",0.01,0.03,339.406,1246.344661,0.298871,0.35994,0.430436,0.86622,0.987835,1.0,0,0,0.01,1,0.297974,0.108967,shift=+1.0C sigma=2.0C slip=0.010,worst shift=+1.0C sigma=2.0C slip=0.010 edge=0.2989; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.4304,passes all stress and execution checks,31.217214,33.5,34.5,celsius,31°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,0,,1,2.5,1.879592,1.762177,2.154915,0.964325
highest-temperature-in-atlanta-on-may-5-2026|highest-temperature-in-atlanta-on-may-5-2026-80-81f|BUY_NO,highest-temperature-in-atlanta-on-may-5-2026,Highest temperature in Atlanta on May 5?,Atlanta,May 5,highest,highest-temperature-in-atlanta-on-may-5-2026-80-81f,80-81°F,BUY_NO,0.54,0.941576,0.389156,0.704457,0.555,0.015,fair,spread penalty; thin liquidity,0.374227,0.659607,0.515,0.025,0.4475,1,0.416576,0.323457,0.808885,0.361976,0,"maker viable, taker expected value is higher",0.01,0.03,489.1652,3389.866939,0.271168,0.33912,0.417943,0.848457,0.985292,1.0,0,0,0.01,1,0.26937,0.117988,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.2712; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.4179,passes all stress and execution checks,24.478956,80.0,82.0,fahrenheit,76-77°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 76-77°F,0,,1,2.5,1.761143,1.649018,2.022212,0.90494
highest-temperature-in-madrid-on-may-5-2026|highest-temperature-in-madrid-on-may-5-2026-20c|BUY_NO,highest-temperature-in-madrid-on-may-5-2026,Highest temperature in Madrid on May 5?,Madrid,May 5,highest,highest-temperature-in-madrid-on-may-5-2026-20c,20°C,BUY_NO,0.45,0.820658,0.358283,0.774875,0.46,0.01,fair,thin liquidity,0.348238,0.737136,0.435,0.015,0.465,1,0.375658,0.299705,0.863582,0.401565,0,"maker viable, taker expected value is higher",0.01,0.02,389.96,2899.007826,0.26225,0.370181,0.445504,0.744705,0.917924,1.0,0,0,0.01,1,0.262647,0.096033,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.2623; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.4455,passes all stress and execution checks,18.67547,19.5,20.5,celsius,19°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 19°C,0,,1,2.5,1.937187,1.84284,2.158955,1.003912
