opened_at,status,event_slug,event_title,market_slug,question,group_item_title,side,entry_mode,paper_source,stake_usdc,price,fee_per_share,shares,fair_probability,net_edge,strategy_version,strategy_candidate_id,execution_quality,execution_slippage,maker_preferred,maker_quote_price,maker_fill_score,maker_reason,maker_edge_if_filled,maker_worst_edge,execution_fillable,execution_fill_ratio,execution_book_price,execution_book_levels_used,execution_book_available_usdc,execution_token_id,robust_reason,worst_edge,stress_pass_rate,decision_reason,risk_flags,visible_top_bucket,visible_top_bucket_probability,visible_bucket_rank,visible_bucket_count,fair_yes_probability,fair_no_probability,yes_net_edge,no_net_edge,expected_payout_usdc,expected_pnl_usdc,prediction_c,interval_lower,interval_upper,interval_unit,end_date,market_has_ended,actual_value,actual_status,won,payout_usdc,pnl_usdc,roi_pct,trade_id,settled_at
2026-05-05T14:45:22+00:00,lost,highest-temperature-in-houston-on-may-6-2026,Highest temperature in Houston on May 6?,highest-temperature-in-houston-on-may-6-2026-81forbelow,Highest temperature in Houston on May 6?,81°F or below,BUY_YES,taker,strategy_lab,0.5,0.1,0.0045,4.784689,0.789045,0.684545,strategy_lab_v2,highest-temperature-in-houston-on-may-6-2026|highest-temperature-in-houston-on-may-6-2026-81forbelow|BUY_YES,good,0.0,0,0.085,0.6025,"maker viable, taker expected value is higher",0.684045,0.316958,1,1.0,0.09,1,2404.0764,109409354020513719908630873452920981328674817472033164539170434905111027069567,passes all stress and execution checks,0.296678,1.0,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,model top bucket,81°F or below,,1,5,,,,,3.7753,3.2753,26.29533,,81.5,fahrenheit,,0,85.0,ok,0,0.0,-0.5,-100.0,43d89373a1cf13b1,2026-05-10T18:54:44+00:00
2026-05-05T14:45:22+00:00,won,highest-temperature-in-san-francisco-on-may-7-2026,Highest temperature in San Francisco on May 7?,highest-temperature-in-san-francisco-on-may-7-2026-62-63f,Highest temperature in San Francisco on May 7?,62-63°F,BUY_NO,taker,strategy_lab,0.5,0.64,0.01152,0.767436,0.998826,0.347306,strategy_lab_v2,highest-temperature-in-san-francisco-on-may-7-2026|highest-temperature-in-san-francisco-on-may-7-2026-62-63f|BUY_NO,fair,0.01,0,0.625,0.4625,maker fill score below 0.55,0.353826,0.285851,1,1.0,0.6,1,952.5086,61091339194463660707689425149704594099640150945009943837396899216864106621353,passes all stress and execution checks,0.259631,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 66°F or higher,,66°F or higher,,3,5,,,,,0.7665,0.2665,22.309932,62.0,64.0,fahrenheit,,0,61.0,ok,1,0.7674,0.2674,53.49,a4ef3b74f51f631e,2026-05-10T18:54:44+00:00
2026-05-05T14:45:22+00:00,won,highest-temperature-in-san-francisco-on-may-6-2026,Highest temperature in San Francisco on May 6?,highest-temperature-in-san-francisco-on-may-6-2026-64-65f,Highest temperature in San Francisco on May 6?,64-65°F,BUY_NO,taker,strategy_lab,0.5,0.58,0.01218,0.844338,0.960894,0.368714,strategy_lab_v2,highest-temperature-in-san-francisco-on-may-6-2026|highest-temperature-in-san-francisco-on-may-6-2026-64-65f|BUY_NO,good,0.0,0,0.565,0.5325,maker fill score below 0.55,0.375894,0.243609,1,1.0,0.58,1,953.8823,20153011250420580768070856319597015115628288587595121372433792313941546498836,passes all stress and execution checks,0.216609,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 60-61°F,,60-61°F,,3,5,,,,,0.8113,0.3113,15.265089,64.0,66.0,fahrenheit,,0,67.0,ok,1,0.8443,0.3443,68.87,58525bb5a64f46ee,2026-05-10T18:54:44+00:00
2026-05-05T14:45:22+00:00,won,highest-temperature-in-jakarta-on-may-7-2026,Highest temperature in Jakarta on May 7?,highest-temperature-in-jakarta-on-may-7-2026-34c,Highest temperature in Jakarta on May 7?,34°C,BUY_NO,taker,strategy_lab,0.5,0.655,0.011299,0.750414,0.975483,0.309184,strategy_lab_v2,highest-temperature-in-jakarta-on-may-7-2026|highest-temperature-in-jakarta-on-may-7-2026-34c|BUY_NO,fair,0.005,0,0.645,0.5025,maker fill score below 0.55,0.310483,0.203564,1,1.0,0.63,1,608.6476,105822945122660436199798140384021826248277459944639861325735885970923837540773,passes all stress and execution checks,0.182595,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,,31°C,,4,5,,,,,0.732,0.232,30.677161,33.5,34.5,celsius,,0,33.0,ok,1,0.7504,0.2504,50.08,e910693eac403ddb,2026-05-10T18:54:44+00:00
2026-05-05T14:45:22+00:00,lost,highest-temperature-in-milan-on-may-7-2026,Highest temperature in Milan on May 7?,highest-temperature-in-milan-on-may-7-2026-21c,Highest temperature in Milan on May 7?,21°C,BUY_NO,taker,strategy_lab,0.5,0.675,0.010969,0.728896,0.969408,0.283439,strategy_lab_v2,highest-temperature-in-milan-on-may-7-2026|highest-temperature-in-milan-on-may-7-2026-21c|BUY_NO,fair,0.005,0,0.655,0.41,maker fill score below 0.55,0.294408,0.180646,1,1.0,0.65,1,793.215,80892146589727651491746065099955621852365224731454211681538319164192700789623,passes all stress and execution checks,0.150047,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 18°C,,18°C,,4,5,,,,,0.7066,0.2066,17.836361,20.5,21.5,celsius,,0,21.0,ok,0,0.0,-0.5,-100.0,cbc9eb828c4d196f,2026-05-10T18:54:44+00:00
2026-05-05T14:45:22+00:00,won,highest-temperature-in-ankara-on-may-6-2026,Highest temperature in Ankara on May 6?,highest-temperature-in-ankara-on-may-6-2026-14c,Highest temperature in Ankara on May 6?,14°C,BUY_NO,taker,strategy_lab,0.5,0.59,0.012095,0.830434,0.812678,0.210583,strategy_lab_v2,highest-temperature-in-ankara-on-may-6-2026|highest-temperature-in-ankara-on-may-6-2026-14c|BUY_NO,fair,0.01,0,0.555,0.515,maker fill score below 0.55,0.237678,0.167481,1,1.0,0.59,1,1053.6838,84392451581463930012096161091324779634501431831193943281881109948058272189817,passes all stress and execution checks,0.120586,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 13°C,,13°C,,2,5,,,,,0.6749,0.1749,12.754572,13.5,14.5,celsius,,0,15.0,ok,1,0.8304,0.3304,66.09,ad419a55d5bf3d0c,2026-05-10T18:54:44+00:00
2026-05-05T14:45:22+00:00,lost,highest-temperature-in-sao-paulo-on-may-6-2026,Highest temperature in Sao Paulo on May 6?,highest-temperature-in-sao-paulo-on-may-6-2026-29c,Highest temperature in Sao Paulo on May 6?,29°C,BUY_NO,taker,strategy_lab,0.5,0.635,0.011589,0.773289,0.895363,0.248774,strategy_lab_v2,highest-temperature-in-sao-paulo-on-may-6-2026|highest-temperature-in-sao-paulo-on-may-6-2026-29c|BUY_NO,fair,0.005,0,0.605,0.515,maker fill score below 0.55,0.270363,0.131215,1,1.0,0.62,1,979.8256,81098207986586390281960222581420829077816147937759580764831925596873822528603,passes all stress and execution checks,0.089917,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 27°C,,27°C,,3,5,,,,,0.6924,0.1924,26.933625,28.5,29.5,celsius,,0,29.0,ok,0,0.0,-0.5,-100.0,2d518d64accde272,2026-05-10T18:54:44+00:00
2026-05-05T14:45:22+00:00,lost,lowest-temperature-in-seoul-on-may-7-2026,Lowest temperature in Seoul on May 7?,lowest-temperature-in-seoul-on-may-7-2026-12c,Lowest temperature in Seoul on May 7?,12°C,BUY_NO,taker,strategy_lab,0.5,0.65,0.011375,0.756001,0.908618,0.247243,strategy_lab_v2,lowest-temperature-in-seoul-on-may-7-2026|lowest-temperature-in-seoul-on-may-7-2026-12c|BUY_NO,fair,0.01,0,0.625,0.37,maker fill score below 0.55,0.263618,0.120891,1,1.0,0.64,1,498.9595,113977321884758791701980423403710167405752954011096470934670808097913604542907,passes all stress and execution checks,0.084836,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 10°C,,10°C,,3,5,,,,,0.6869,0.1869,9.78592,11.5,12.5,celsius,,0,12.0,ok,0,0.0,-0.5,-100.0,bf05e2fdf3a84c95,2026-05-10T18:54:44+00:00
