candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_fillable,execution_fill_ratio,execution_book_price,execution_book_levels_used,execution_book_available_usdc,execution_token_id,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,planned_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc,maker_expected_pnl_if_filled_usdc,maker_fill_adjusted_expected_pnl_usdc
highest-temperature-in-houston-on-may-6-2026|highest-temperature-in-houston-on-may-6-2026-81forbelow|BUY_YES,highest-temperature-in-houston-on-may-6-2026,Highest temperature in Houston on May 6?,Houston,May 6,highest,highest-temperature-in-houston-on-may-6-2026-81forbelow,81°F or below,BUY_YES,0.1,0.789045,0.684545,6.55067,0.1,0.0,1,1.0,0.09,1,2404.0764,109409354020513719908630873452920981328674817472033164539170434905111027069567,good,,0.684545,6.55067,0.085,0.015,0.6025,1,0.684045,0.316958,8.047588,4.848672,0,"maker viable, taker expected value is higher",0.02,0.02,1584.3042,1067.641058,0.296678,0.576098,0.859815,0.421958,0.964315,1.0,0,0,0.08,1,0.267892,0.387867,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.2967; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.8598,passes all stress and execution checks,26.29533,,81.5,fahrenheit,81°F or below,1,5,model top bucket,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,0.5,0.5,1,0.5,3.275335,3.275335,4.023794,2.424336
highest-temperature-in-san-francisco-on-may-7-2026|highest-temperature-in-san-francisco-on-may-7-2026-62-63f|BUY_NO,highest-temperature-in-san-francisco-on-may-7-2026,Highest temperature in San Francisco on May 7?,San Francisco,May 7,highest,highest-temperature-in-san-francisco-on-may-7-2026-62-63f,62-63°F,BUY_NO,0.63,0.998826,0.357171,0.55664,0.64,0.01,1,1.0,0.6,1,952.5086,61091339194463660707689425149704594099640150945009943837396899216864106621353,fair,moderate liquidity; low market volume,0.347306,0.53307,0.625,0.005,0.4625,0,0.353826,0.285851,0.566122,0.261831,0,maker fill score below 0.55,0.02,0.01,930.4346,63.223154,0.259631,0.318165,0.348452,0.930851,0.999972,1.0,0,0,0.08,1,0.259877,0.09754,shift=-1.5C sigma=2.8C slip=0.020,worst shift=-1.5C sigma=2.8C slip=0.020 edge=0.2596; best shift=+1.5C sigma=1.5C slip=0.000 edge=0.3485,passes all stress and execution checks,22.309932,62.0,64.0,fahrenheit,66°F or higher,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 66°F or higher,0,0.5,0.5,1,0.5,0.27832,0.266535,0.283061,0.130915
highest-temperature-in-san-francisco-on-may-6-2026|highest-temperature-in-san-francisco-on-may-6-2026-64-65f|BUY_NO,highest-temperature-in-san-francisco-on-may-6-2026,Highest temperature in San Francisco on May 6?,San Francisco,May 6,highest,highest-temperature-in-san-francisco-on-may-6-2026-64-65f,64-65°F,BUY_NO,0.58,0.960894,0.368714,0.622638,0.58,0.0,1,1.0,0.58,1,953.8823,20153011250420580768070856319597015115628288587595121372433792313941546498836,good,,0.368714,0.622638,0.565,0.015,0.5325,0,0.375894,0.243609,0.665299,0.354272,0,maker fill score below 0.55,0.02,0.02,1149.3264,419.121522,0.216609,0.317149,0.404403,0.828609,0.996583,1.0,0,0,0.08,1,0.211399,0.152105,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.2166; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.4044,passes all stress and execution checks,15.265089,64.0,66.0,fahrenheit,60-61°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 60-61°F,0,0.5,0.5,1,0.5,0.311319,0.311319,0.332649,0.177136
highest-temperature-in-jakarta-on-may-7-2026|highest-temperature-in-jakarta-on-may-7-2026-34c|BUY_NO,highest-temperature-in-jakarta-on-may-7-2026,Highest temperature in Jakarta on May 7?,Jakarta,May 7,highest,highest-temperature-in-jakarta-on-may-7-2026-34c,34°C,BUY_NO,0.65,0.975483,0.314108,0.474932,0.655,0.005,1,1.0,0.63,1,608.6476,105822945122660436199798140384021826248277459944639861325735885970923837540773,fair,moderate liquidity,0.309184,0.464032,0.645,0.005,0.5025,0,0.310483,0.203564,0.481369,0.241888,0,maker fill score below 0.55,0.02,0.01,906.976,107.498886,0.182595,0.26096,0.331918,0.868564,0.998217,1.0,0,0,0.08,1,0.179444,0.131513,shift=+1.5C sigma=2.0C slip=0.020,worst shift=+1.5C sigma=2.0C slip=0.020 edge=0.1826; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.3319,passes all stress and execution checks,30.677161,33.5,34.5,celsius,31°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,0,0.5,0.5,1,0.5,0.237466,0.232016,0.240684,0.120944
highest-temperature-in-milan-on-may-7-2026|highest-temperature-in-milan-on-may-7-2026-21c|BUY_NO,highest-temperature-in-milan-on-may-7-2026,Highest temperature in Milan on May 7?,Milan,May 7,highest,highest-temperature-in-milan-on-may-7-2026-21c,21°C,BUY_NO,0.67,0.969408,0.288353,0.423392,0.675,0.005,1,1.0,0.65,1,793.215,80892146589727651491746065099955621852365224731454211681538319164192700789623,fair,moderate liquidity,0.283439,0.413196,0.655,0.015,0.41,0,0.294408,0.180646,0.449478,0.184286,0,maker fill score below 0.55,0.02,0.02,956.5727,101.922054,0.150047,0.235327,0.311566,0.855646,0.997535,1.0,0,0,0.08,1,0.146216,0.138306,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.1500; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.3116,passes all stress and execution checks,17.836361,20.5,21.5,celsius,18°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 18°C,0,0.5,0.5,1,0.5,0.211696,0.206598,0.224739,0.092143
highest-temperature-in-ankara-on-may-6-2026|highest-temperature-in-ankara-on-may-6-2026-14c|BUY_NO,highest-temperature-in-ankara-on-may-6-2026,Highest temperature in Ankara on May 6?,Ankara,May 6,highest,highest-temperature-in-ankara-on-may-6-2026-14c,14°C,BUY_NO,0.58,0.812678,0.220498,0.37235,0.59,0.01,1,1.0,0.59,1,1053.6838,84392451581463930012096161091324779634501431831193943281881109948058272189817,fair,spread penalty; depth slippage,0.210583,0.34975,0.555,0.025,0.515,0,0.237678,0.167481,0.428249,0.220548,0,maker fill score below 0.55,0.02,0.03,1419.1287,506.453243,0.120586,0.243944,0.345949,0.742481,0.948044,1.0,0,0,0.08,1,0.120595,0.099912,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.1206; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.3459,passes all stress and execution checks,12.754572,13.5,14.5,celsius,13°C,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 13°C,0,0.5,0.5,1,0.5,0.186175,0.174875,0.214124,0.110274
highest-temperature-in-sao-paulo-on-may-6-2026|highest-temperature-in-sao-paulo-on-may-6-2026-29c|BUY_NO,highest-temperature-in-sao-paulo-on-may-6-2026,Highest temperature in Sao Paulo on May 6?,Sao Paulo,May 6,highest,highest-temperature-in-sao-paulo-on-may-6-2026-29c,29°C,BUY_NO,0.63,0.895363,0.253708,0.395396,0.635,0.005,1,1.0,0.62,1,979.8256,81098207986586390281960222581420829077816147937759580764831925596873822528603,fair,spread penalty,0.248774,0.384749,0.605,0.025,0.515,0,0.270363,0.131215,0.446881,0.230144,0,maker fill score below 0.55,0.02,0.03,1090.4042,417.241506,0.089917,0.229422,0.336302,0.756215,0.98289,1.0,0,0,0.08,1,0.083538,0.163791,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.0899; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.3363,passes all stress and execution checks,26.933625,28.5,29.5,celsius,27°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 27°C,0,0.5,0.5,1,0.5,0.197698,0.192375,0.22344,0.115072
lowest-temperature-in-seoul-on-may-7-2026|lowest-temperature-in-seoul-on-may-7-2026-12c|BUY_NO,lowest-temperature-in-seoul-on-may-7-2026,Lowest temperature in Seoul on May 7?,Seoul,May 7,lowest,lowest-temperature-in-seoul-on-may-7-2026-12c,12°C,BUY_NO,0.64,0.908618,0.257098,0.394613,0.65,0.01,1,1.0,0.64,1,498.9595,113977321884758791701980423403710167405752954011096470934670808097913604542907,fair,moderate liquidity; low market volume,0.247243,0.373832,0.625,0.015,0.37,0,0.263618,0.120891,0.421789,0.156062,0,maker fill score below 0.55,0.02,0.02,666.6703,58.155526,0.084836,0.220769,0.325039,0.765891,0.986414,1.0,0,0,0.08,1,0.07761,0.172262,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.0848; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.3250,passes all stress and execution checks,9.78592,11.5,12.5,celsius,10°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 10°C,0,0.5,0.5,1,0.5,0.197306,0.186916,0.210895,0.078031
