candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_fillable,execution_fill_ratio,execution_book_price,execution_book_levels_used,execution_book_available_usdc,execution_token_id,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,planned_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc
highest-temperature-in-atlanta-on-may-6-2026|highest-temperature-in-atlanta-on-may-6-2026-80-81f|BUY_NO,highest-temperature-in-atlanta-on-may-6-2026,Highest temperature in Atlanta on May 6?,Atlanta,May 6,highest,highest-temperature-in-atlanta-on-may-6-2026-80-81f,80-81°F,BUY_NO,0.71,0.87875,0.158455,0.219986,0.71,0.0,1,1.0,0.7,1,1790.285,81652993043232627716350029338306683630979763622130867242336086623007560294531,good,,0.158455,0.219986,0.695,0.015,0.5325,0,0.16375,0.012349,0.235612,0.125463,0,maker fill score below 0.55,0.02,0.02,2097.7537,831.178678,-0.012506,0.141181,0.259004,0.727349,0.979299,0.777778,2,6,0.08,0,-0.021824,0.170961,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=-0.0125; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.2590,negative edge under shift=+1.5C sigma=1.5C slip=0.020,25.200085,80.0,82.0,fahrenheit,79°F or below,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 79°F or below,0,0.5,0.5,0,,,
highest-temperature-in-atlanta-on-may-6-2026|highest-temperature-in-atlanta-on-may-6-2026-82-83f|BUY_NO,highest-temperature-in-atlanta-on-may-6-2026,Highest temperature in Atlanta on May 6?,Atlanta,May 6,highest,highest-temperature-in-atlanta-on-may-6-2026-82-83f,82-83°F,BUY_NO,0.81,0.964106,0.146411,0.179053,0.85,0.04,1,1.0,0.85,1,1079.485,26231859697407442870538958163419873798534154631134349844519326440952970667560,poor,depth slippage,0.107731,0.125799,0.795,0.015,0.6025,1,0.149106,0.021018,0.187555,0.113002,0,"maker viable, taker expected value is higher",0.02,0.02,1899.0851,1079.771568,-0.039637,0.056033,0.140617,0.836018,0.996992,0.444444,8,15,0.08,0,-0.053797,0.186048,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=-0.0396; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.1406,execution slippage above 0.010: 0.040,25.200085,82.0,84.0,fahrenheit,79°F or below,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 79°F or below,0,0.5,0.5,0,,,
highest-temperature-in-atlanta-on-may-6-2026|highest-temperature-in-atlanta-on-may-6-2026-84-85f|BUY_NO,highest-temperature-in-atlanta-on-may-6-2026,Highest temperature in Atlanta on May 6?,Atlanta,May 6,highest,highest-temperature-in-atlanta-on-may-6-2026-84-85f,84-85°F,BUY_NO,0.9,0.993725,0.089225,0.098646,0.967,0.067,1,1.0,0.967,1,3019.97854,40872822625276511928728936760027044569962588493500521817969271621990482978419,poor,depth slippage,0.025129,0.025944,0.885,0.015,0.6025,0,0.088725,-0.002961,0.100254,0.060403,0,maker worst stress edge not positive,0.02,0.02,2569.4956,1025.678132,-0.085603,-0.01663,0.031147,0.902039,0.999742,0.0,15,27,0.08,0,-0.103085,0.174828,shift=+1.5C sigma=2.8C slip=0.020,worst shift=+1.5C sigma=2.8C slip=0.020 edge=-0.0856; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.0311,execution slippage above 0.010: 0.067,25.200085,84.0,86.0,fahrenheit,79°F or below,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 79°F or below,0,0.45,0.45,0,,,
highest-temperature-in-taipei-on-may-6-2026|highest-temperature-in-taipei-on-may-6-2026-30c|BUY_YES,highest-temperature-in-taipei-on-may-6-2026,Highest temperature in Taipei on May 6?,Taipei,May 6,highest,highest-temperature-in-taipei-on-may-6-2026-30c,30°C,BUY_YES,0.04,0.128656,0.086736,2.069084,0.099,0.059,1,1.0,0.099,1,12085.91552,83236194701915269325559593982120778959194216777694258128870828285716091225188,poor,spread penalty; depth slippage,0.025196,0.243534,0.021,0.019,0.59175,0,0.087656,-0.016315,4.174095,2.470021,0,maker worst stress edge not positive,0.02,0.024,3318.019,2255.532721,-0.099557,0.010218,0.152064,0.024685,0.255523,0.185185,10,22,0.08,0,-0.116334,0.186293,shift=-1.5C sigma=1.5C slip=0.020,worst shift=-1.5C sigma=1.5C slip=0.020 edge=-0.0996; best shift=+1.5C sigma=1.5C slip=0.000 edge=0.1521,execution slippage above 0.010: 0.059,28.181974,29.5,30.5,celsius,28°C,4,5,,BUY_YES: our bucket probability is above market ask after fee; rank 4 of 5,0,0.43,0.43,0,,,
highest-temperature-in-beijing-on-may-6-2026|highest-temperature-in-beijing-on-may-6-2026-27c|BUY_NO,highest-temperature-in-beijing-on-may-6-2026,Highest temperature in Beijing on May 6?,Beijing,May 6,highest,highest-temperature-in-beijing-on-may-6-2026-27c,27°C,BUY_NO,0.67,0.837608,0.156553,0.229868,0.7,0.03,1,1.0,0.7,1,984.5807,12086244621355897173196648514905721723605889975709919055222569419476384620023,poor,spread penalty; depth slippage,0.127108,0.178899,0.645,0.025,0.515,0,0.172608,0.073889,0.267609,0.137819,0,maker fill score below 0.55,0.02,0.03,1602.9099,461.751641,0.008809,0.143542,0.250999,0.738889,0.961499,0.851852,0,4,0.08,0,0.002553,0.147744,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.0088; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.2510,execution slippage above 0.010: 0.030,25.510721,26.5,27.5,celsius,26°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C,0,0.5,0.5,0,,,
highest-temperature-in-beijing-on-may-6-2026|highest-temperature-in-beijing-on-may-6-2026-28c|BUY_NO,highest-temperature-in-beijing-on-may-6-2026,Highest temperature in Beijing on May 6?,Beijing,May 6,highest,highest-temperature-in-beijing-on-may-6-2026-28c,28°C,BUY_NO,0.86,0.93075,0.06473,0.074744,0.93,0.07,1,1.0,0.93,1,1182.2641,95690716576729381046012376233015993473269708673668777741778581594734021024567,poor,depth slippage,-0.002505,-0.002684,0.845,0.015,0.5325,0,0.06575,-0.076751,0.077811,0.041434,0,maker fill score below 0.55,0.02,0.02,2318.8685,370.2677,-0.164126,-0.039242,0.058123,0.788249,0.991378,0.0,19,27,0.08,0,-0.187012,0.228856,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=-0.1641; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.0581,execution slippage above 0.010: 0.070,25.510721,27.5,28.5,celsius,26°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C,0,0.32,0.32,0,,,
highest-temperature-in-beijing-on-may-6-2026|highest-temperature-in-beijing-on-may-6-2026-29c|BUY_NO,highest-temperature-in-beijing-on-may-6-2026,Highest temperature in Beijing on May 6?,Beijing,May 6,highest,highest-temperature-in-beijing-on-may-6-2026-29c,29°C,BUY_NO,0.9,0.980774,0.076274,0.084327,0.97,0.07,1,1.0,0.97,1,1373.58428,3804398784164419445070972056345804663645953172144250278101440445216466734437,poor,depth slippage,0.009319,0.009593,0.895,0.005,0.565,0,0.065774,-0.036613,0.073491,0.041522,0,maker worst stress edge not positive,0.02,0.01,2346.0881,184.644972,-0.112108,-0.037932,0.027289,0.878387,0.998744,0.0,19,27,0.08,0,-0.130946,0.188382,shift=+1.5C sigma=2.0C slip=0.020,worst shift=+1.5C sigma=2.0C slip=0.020 edge=-0.1121; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.0273,execution slippage above 0.010: 0.070,25.510721,28.5,29.5,celsius,26°C,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C,0,0.38,0.38,0,,,
highest-temperature-in-houston-on-may-6-2026|highest-temperature-in-houston-on-may-6-2026-84-85f|BUY_NO,highest-temperature-in-houston-on-may-6-2026,Highest temperature in Houston on May 6?,Houston,May 6,highest,highest-temperature-in-houston-on-may-6-2026-84-85f,84-85°F,BUY_NO,0.61,0.964859,0.342964,0.551482,0.62,0.01,1,1.0,0.62,1,1141.7822,27418227896211208117419115891970528419809463386355600295939406197727909626502,fair,spread penalty; depth slippage,0.333079,0.527207,0.585,0.025,0.515,0,0.359859,0.232822,0.615144,0.316799,0,maker fill score below 0.55,0.02,0.03,1393.939,569.9182,0.186302,0.281078,0.365304,0.837822,0.997084,1.0,0,0,0.08,1,0.180636,0.156662,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.1863; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.3653,passes all stress and execution checks,26.29533,84.0,86.0,fahrenheit,81°F or below,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 81°F or below,0,0.5,0.5,0,,,
highest-temperature-in-houston-on-may-6-2026|highest-temperature-in-houston-on-may-6-2026-88-89f|BUY_NO,highest-temperature-in-houston-on-may-6-2026,Highest temperature in Houston on May 6?,Houston,May 6,highest,highest-temperature-in-houston-on-may-6-2026-88-89f,88-89°F,BUY_NO,0.88,0.999376,0.114096,0.128881,0.9,0.02,1,1.0,0.9,1,1441.1761,788284823566705833003455264448160956724567542790636414207292638816321104474,poor,depth slippage,0.094876,0.104893,0.875,0.005,0.625,1,0.104376,0.044764,0.119287,0.074554,0,"maker viable, taker expected value is higher",0.02,0.01,1264.1933,420.972803,0.016084,0.069575,0.095488,0.939764,0.999988,0.333333,0,18,0.08,0,0.009616,0.098012,shift=+1.5C sigma=2.8C slip=0.020,worst shift=+1.5C sigma=2.8C slip=0.020 edge=0.0161; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.0955,execution slippage above 0.010: 0.020,26.29533,88.0,90.0,fahrenheit,81°F or below,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 81°F or below,0,0.5,0.5,0,,,
highest-temperature-in-houston-on-may-6-2026|highest-temperature-in-houston-on-may-6-2026-81forbelow|BUY_YES,highest-temperature-in-houston-on-may-6-2026,Highest temperature in Houston on May 6?,Houston,May 6,highest,highest-temperature-in-houston-on-may-6-2026-81forbelow,81°F or below,BUY_YES,0.1,0.789045,0.684545,6.55067,0.1,0.0,1,1.0,0.09,1,2404.0764,109409354020513719908630873452920981328674817472033164539170434905111027069567,good,,0.684545,6.55067,0.085,0.015,0.6025,1,0.684045,0.316958,8.047588,4.848672,0,"maker viable, taker expected value is higher",0.02,0.02,1584.3042,1067.641058,0.296678,0.576098,0.859815,0.421958,0.964315,1.0,0,0,0.08,1,0.267892,0.387867,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.2967; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.8598,passes all stress and execution checks,26.29533,,81.5,fahrenheit,81°F or below,1,5,model top bucket,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,0.5,0.5,1,,,
